"","Gene.name","alpha_pyr","beta_pyr","lambda1_pyr","lambda2_pyr","MCpval_pyr","on_state_freq_pyr","on_state_pyr","total_cells_pyr","CellType_pyr","MEAN_pyr","MODE_pyr","MEDIAN_pyr","VAR_pyr","alpha_fs","beta_fs","lambda1_fs","lambda2_fs","MCpval_fs","on_state_freq_fs","on_state_fs","total_cells_fs","CellType_fs","MEAN_fs","MODE_fs","MEDIAN_fs","VAR_fs","MODE_ratio","alpha_ratio","beta_ratio","MEAN_ratio","direction_alpha","direction_beta"
"1","X0610009D07Rik",0.0267355083920612,1.26414456373342,1900.17001750746,1.10106803228609,0.75,30.5084745762712,18,59,"Pyramidal",206.410387593153,2.83055978037196,1.64063241605877,234013.546787584,0.0250692337111334,0.263466729172554,1194.58883660251,0.931082251724408,0.991,24,6,25,"Fast-spiking",472.820462541045,194.87863736446,345.041421304834,246216.534953041,68.8480910086454,0.937675593951953,0.208415031580291,2.29068153039373,"",""
"2","X0610037L13Rik",0.0353673600117025,0.750525143522439,731.923076877884,0.845690890824654,0.356,25.4237288135593,15,59,"Pyramidal",97.6020710359797,15.4971155661588,26.3358119214019,34746.5403009786,0.0192280015832105,0.162924299760801,19.1744740643827,0.99090254778443,0.617,20,5,25,"Fast-spiking",11.0097294010592,3.40018658968429,9.34527202885815,122.655651311275,0.219407706883809,0.543665164062239,0.217080401858555,0.112802210897765,"",""
"3","X1110019D14Rik",0.0883875363437548,3.36586468886097,255.910653500223,0.100049419548513,0.341,30.5084745762712,18,59,"Pyramidal",1.60622322002099,0.378613036785807,0.543350416617688,9.87553974263128,0.101811674250735,1.10415988510381,22.9156320726717,0.768113964879829,0.586,32,8,25,"Fast-spiking",4.7429856594664,1.44911338474863,2.03346398479672,33.977839597363,3.82742601007803,1.15187817719878,0.328046427046794,2.95288077046004,"",""
"4","X1110037F02Rik",0.0440026324508013,16.5008234289373,1147.93926863942,3.69412490061675,0.209,32.2033898305085,19,59,"Pyramidal",108.09500887526,2.62567651548889,2.22346253913006,70413.9331750107,0.0305789629529721,1.84888491828072,388.214421828762,2.68272970582703,0.526,28,7,25,"Fast-spiking",71.5277057824197,1.48165430686917,1.43617452792917,20773.7902875443,0.564294305916544,0.69493485388998,0.112048039677726,0.661711456677537,"",""
"5","X1110058L19Rik",0.0116372652390781,0.314176706220965,3083.13300860778,0.96596227785888,0.989,22.0338983050847,13,59,"Pyramidal",399.59303356958,11.9792806930364,2.07336513968824,813025.167215731,0.0553953152309139,36.6868342337274,1050.98730439735,20.5292335708339,0.672,20,5,25,"Fast-spiking",404.948120866195,87.8232829200912,171.95300533099,222937.899867693,7.33126513774263,4.76016607792831,116.771337617643,1.01340135299351,"",""
"6","X1700113A16Rik",0.0699807676415239,0.988249943767365,29.097219737726,0.997369758863811,0.561,27.1186440677966,16,59,"Pyramidal",7.19140858801001,2.29084182703155,3.55404427634979,85.3550960360319,0.0893057104368647,2.95408812406888,55.0112181189543,0.700216521544759,0.384,24,6,25,"Fast-spiking",4.84467998034473,1.67295305462482,2.22684896770247,27.0235312940643,0.730278727620673,1.27614648204965,2.98921152760953,0.673676084602132,"",""
"7","X1810022K09Rik",0.0622404734813686,1.16152289728937,1025.39319030267,1.1348153166658,0.8,35.5932203389831,21,59,"Pyramidal",172.779740726916,23.5702138300895,50.6482492589672,77518.5135131792,0.0305194669707731,12.3615859929485,340.6720762143,3.60008938973042,0.879,20,5,25,"Fast-spiking",25.6232472459576,2.23901468491228,3.66772519585978,2180.64630753729,0.0949933972195863,0.490347602832889,10.6425676340919,0.148300067694025,"",""
"8","X1810041L15Rik",0.0193204301121571,284.638512785847,20051.5016008083,2.34744487962736,0.065,44.0677966101695,26,59,"Pyramidal",52.2058159848899,0.201505588516067,0.484211373524096,33658.203992583,0.0812384877819843,34.5291003047355,1018.15547304203,0.355541799027512,0.924,32,8,25,"Fast-spiking",2.68630660944749,0.524794763646295,0.549405888948721,19.9226295257207,2.60436828333647,4.20479706250774,0.121308602854857,0.0514560793422901,"",""
"9","X2010012O05Rik",0.129286634646541,3.38225719244154,295.41005169104,1.6479020166604,0.681,72.8813559322034,43,59,"Pyramidal",27.2084898705925,1.5397670553507,1.96083151908502,4111.06149739145,0.0976245362779325,0.875083873139973,181.262076513716,0.981604062032969,0.966,72,18,25,"Fast-spiking",27.4537283997387,5.04780995177919,9.16272118443626,2113.58144365301,3.27829455386646,0.755101535010405,0.258727773599109,1.00901330909259,"",""
"10","X2010107E04Rik",0.053346169675758,0.398734618813004,4517.8636319449,0.921071611718156,0.983,59.3220338983051,35,59,"Pyramidal",897.725203344227,106.989190702781,193.417381949729,1915960.53783425,0.181598211043506,1.35071168550533,2471.44616520414,1.16619171959698,0.98,56,14,25,"Fast-spiking",597.798850817054,168.913001000821,329.498008372689,515933.628200956,1.57878566882579,3.40414714209611,3.38749539612656,0.665904052364932,"",""
