"","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEDIAN","MEAN","MODE","VAR","bin_on_freq"
"1","X0610009D07Rik",0.026735508,1.264144564,1900.170018,1.101068032,0.75,30.50847458,18,59,"Pyramidal",1.64063241605877,206.410387593153,2.83055978037196,234013.546787584,4
"2","X0610037L13Rik",0.03536736,0.750525144,731.9230769,0.845690891,0.356,25.42372881,15,59,"Pyramidal",26.3358119214019,97.6020710359797,15.4971155661588,34746.5403009786,3
"3","X1110019D14Rik",0.088387536,3.365864689,255.9106535,0.10004942,0.341,30.50847458,18,59,"Pyramidal",0.543350416617688,1.60622322002099,0.378613036785807,9.87553974263128,4
"4","X1110037F02Rik",0.044002632,16.50082343,1147.939269,3.694124901,0.209,32.20338983,19,59,"Pyramidal",2.22346253913006,108.09500887526,2.62567651548889,70413.9331750107,5
"5","X1110058L19Rik",0.011637265,0.314176706,3083.133009,0.965962278,0.989,22.03389831,13,59,"Pyramidal",2.07336513968824,399.59303356958,11.9792806930364,813025.167215731,1
"6","X1700113A16Rik",0.069980768,0.988249944,29.09721974,0.997369759,0.561,27.11864407,16,59,"Pyramidal",3.55404427634979,7.19140858801001,2.29084182703155,85.3550960360319,3
"7","X1810022K09Rik",0.062240473,1.161522897,1025.39319,1.134815317,0.8,35.59322034,21,59,"Pyramidal",50.6482492589672,172.779740726916,23.5702138300895,77518.5135131792,5
"8","X1810041L15Rik",0.01932043,284.6385128,20051.5016,2.34744488,0.065,44.06779661,26,59,"Pyramidal",0.484211373524096,52.2058159848899,0.201505588516067,33658.203992583,7
"9","X2010012O05Rik",0.129286635,3.382257192,295.4100517,1.647902017,0.681,72.88135593,43,59,"Pyramidal",1.96083151908502,27.2084898705925,1.5397670553507,4111.06149739145,10
"10","X2010107E04Rik",0.05334617,0.398734619,4517.863632,0.921071612,0.983,59.3220339,35,59,"Pyramidal",193.417381949729,897.725203344227,106.989190702781,1915960.53783425,9
"11","X2010300C02Rik",0.068351853,0.53557867,862.5237891,0.895585489,0.458,45.76271186,27,59,"Pyramidal",78.095727678874,194.313358650507,39.8427430828464,74648.9906253853,7
"12","X2210018M11Rik",0.047712798,0.74757111,617.0987369,0.577273189,0.177,32.20338983,19,59,"Pyramidal",9.0238991558443,67.5506533833519,5.02210474412474,23614.0001778758,5
"13","X2410002F23Rik",0.047945811,0.828448569,183.7658439,1.003194489,0.762,45.76271186,27,59,"Pyramidal",1.22064079105233,29.0986321236638,1.7394502634386,3652.21351703248,7
"14","X2410006H16Rik",0.053840128,0.78094825,729.2071596,0.964642836,0.921,44.06779661,26,59,"Pyramidal",33.1545314615465,111.226335765044,17.9402320416778,30406.1487205654,7
"15","X2410015M20Rik",0.043315809,2.163658745,436.0704028,1.624418334,0.212,45.76271186,27,59,"Pyramidal",1.11173126956503,34.4106001410146,0.422437282453715,10947.0537462924,7
"16","X2410076I21Rik",0.110234206,1.188133745,107.2226808,0.069588024,0.779,42.37288136,25,59,"Pyramidal",0.731219400767602,1.48798338839027,0.530646743069451,3.32895208268819,6
"17","X2610002M06Rik",0.027880656,0.474225895,719.2933584,0.602735959,0.909,23.72881356,14,59,"Pyramidal",5.66837326691285,111.453083294518,5.15833950148118,44828.8404519104,2
"18","X2610524H06Rik",0.035080936,0.605156579,944.3092012,0.499532324,0.902,23.72881356,14,59,"Pyramidal",10.9809258621014,126.307153844882,7.74142467087671,66427.6919783312,2
"19","X2700081O15Rik",0.135027308,2.526627924,390.8094405,0.104461604,0.286,50.84745763,30,59,"Pyramidal",0.975946975228739,4.32152504551815,0.667191903497461,94.1044094427047,8
"20","X2810474O19Rik",0.013460696,0.45662833,216167.6426,0.044122938,1,37.28813559,22,59,"Pyramidal",0.490715369796318,735.168573293992,-6.06771635440449,5633516.02898038,6
"21","X2900055J20Rik",0.055324871,0.7245922,2381.741571,0.967998826,0.987,72.88135593,43,59,"Pyramidal",1.53086563835315,222.810520768159,4.54137882361977,272392.605973718,10
"22","X2900060B14Rik",0.161000841,12.14377654,135.9296453,1.151727021,0.548,50.84745763,30,59,"Pyramidal",1.33376760561464,4.35942890994117,0.711585257888745,87.0817555382764,8
"23","X2900097C17Rik",0.063778255,1.226347958,447.030893,1.057702564,0.807,77.96610169,46,59,"Pyramidal",5.89250330606704,36.0748770140278,3.65462951070566,6696.01451377283,10
"24","X3110021A11Rik",0.014199474,77.26869855,6044.884378,2.617456446,0.984,28.81355932,17,59,"Pyramidal",0.548414550575701,24.5831509193766,0.237396545513674,7027.7931699913,4
"25","X3110035E14Rik",0.268111622,4.182145638,5848.122208,1.563990352,0.911,71.18644068,42,59,"Pyramidal",219.680563996789,710.61262915951,105.325829880376,1195435.10694744,10
