"","X","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEAN","MODE","MEDIAN"
"22",22,"X2900060B14Rik",0.161000840842132,12.1437765367474,135.929645274876,1.15172702129138,0.548,50.8474576271186,30,59,"Pyramidal",4.35942890994117,0.711585257888745,0.18178824428811
"23",23,"X2900097C17Rik",0.0637782547078033,1.22634795781608,447.030892993347,1.05770256443853,0.807,77.9661016949153,46,59,"Pyramidal",36.0748770140278,3.65462951070566,2.9685100888329
"24",24,"X3110021A11Rik",0.0141994742607931,77.2686985469035,6044.88437780295,2.61745644596999,0.984,28.8135593220339,17,59,"Pyramidal",24.5831509193766,0.237396545513674,0
"25",25,"X3110035E14Rik",0.268111621948979,4.18214563773272,5848.12220792556,1.56399035222255,0.911,71.1864406779661,42,59,"Pyramidal",710.61262915951,105.325829880376,11.2624265590387
"26",26,"X3425401B19Rik",0.0607907730726894,0.551719456682686,48.1665809926192,0.0549187697067086,0.831,23.728813559322,14,59,"Pyramidal",1.14571196262598,0.492287265144747,0
"27",27,"X4833420G17Rik",0.0615952767415625,1.03927033161715,1298.31625183545,0.983358080267769,0.962,35.5932203389831,21,59,"Pyramidal",194.461184762324,36.7933320014012,0
"28",28,"X4930402H24Rik",0.0465834456299725,0.792038585197933,4204.11037669548,0.914452822985647,0.762,71.1864406779661,42,59,"Pyramidal",332.957609198614,10.379329082024,0.845616788325254
"29",29,"X4930524L23Rik",0.0822930684717463,3.54751015577582,137.169687488537,0.161169617677878,0.452,27.1186440677966,16,59,"Pyramidal",1.7273132738648,0.44543974881123,0
"30",30,"X4930525G20Rik",0.0484639339323629,1.4714376722813,631.98713344343,0.0493799904927724,0.541,30.5084745762712,18,59,"Pyramidal",3.58152087724549,0.476737673572965,0
"31",31,"X4932438A13Rik",0.29072650083192,3.3645967009796,879.348928757735,1.6595051226574,0.139,62.7118644067797,37,59,"Pyramidal",173.114901302863,34.4818290972634,2.53244453080906
"32",32,"X4933434E20Rik",0.00909124605872762,0.166269108804763,6289.045566915,0.043298482651961,1,22.0338983050847,13,59,"Pyramidal",99.5918660514805,2.96142809882861,0
"33",33,"X5031426D15Rik",0.174488597765502,2.50069489533774,6315.39980896217,1.52955081766244,0.899,89.8305084745763,53,59,"Pyramidal",656.729338251986,61.8812301759849,29.4608786434732
"34",34,"X5031439G07Rik",0.0330156799267497,1.47164134087085,322.886868207258,1.46121430339784,0.833,32.2033898305085,19,59,"Pyramidal",43.0141662841558,1.78884209199639,0
"35",35,"X5430417L22Rik",0.0208728423650876,0.635084393885459,1134.51015960912,0.0285315046589739,0.738,23.728813559322,14,59,"Pyramidal",3.38047077281223,0.297732210391989,0
"36",36,"X5730455P16Rik",0.133427648635587,12.5803763648552,1165.95171417033,3.23463046498339,0.081,77.9661016949153,46,59,"Pyramidal",54.6209712930541,2.50896094706793,1.67806995337338
"37",37,"X5830417I10Rik",0.070771187281471,37.4233421525792,430.982156870475,0.931285341528521,0.699,27.1186440677966,16,59,"Pyramidal",3.27927736532123,0.460540021785337,0
"38",38,"X5830418K08Rik",0.0590404242635733,24.4338592848357,598.870820734258,0.816086581121735,0.914,30.5084745762712,18,59,"Pyramidal",6.68790590629823,0.676458142574234,0
"39",39,"X6330403K07Rik",0.103779365691785,2.39203586549247,7257.60986792152,1.3200343362248,0.967,61.0169491525424,36,59,"Pyramidal",658.266379720833,47.5024208684009,0.467095016167953
"40",40,"X6330403M23Rik",0.0629894189467935,1.1999947303866,2700.82902297753,1.39128172732172,0.766,47.4576271186441,28,59,"Pyramidal",412.631833343721,35.0121131552213,0
"41",41,"X6430548M08Rik",0.0632570934640687,1.60963213714004,4680.09993911567,1.15345949201913,0.927,44.0677966101695,26,59,"Pyramidal",477.894511011065,33.1132610986959,0
"42",42,"X8430419L09Rik",0.0921473379710542,1.24186743118052,135.037571005137,1.40113747036825,0.999,45.7627118644068,27,59,"Pyramidal",30.8154741999442,3.26045717969791,0
"43",43,"X9130023H24Rik",0.116587793358994,1.18926124456192,45.8070290312912,0.0388696374066561,0.91,28.8135593220339,17,59,"Pyramidal",0.559735945606971,0.273749371602326,0
"44",44,"X9130024F11Rik",0.040105749309322,2.04285426442382,6908.5898513154,0.168699493346972,0.464,30.5084745762712,18,59,"Pyramidal",73.39556685173,0.274543631384887,0
"45",45,"X9330151L19Rik",0.166907026603365,15.3340781852514,956.298279027699,0.384330135401724,0.088,55.9322033898305,33,59,"Pyramidal",9.33028635381128,0.685392279022462,0.130138036857169
"46",46,"X9330159F19Rik",0.0447980126601582,0.695680091031754,1355.0639456296,0.995249264225596,0.892,44.0677966101695,26,59,"Pyramidal",217.945886237034,17.7315490200603,0
"47",47,"X9930013L23Rik",0.0287029388260844,3.49609912493513,701.276429557393,1.69448132617549,0.428,28.8135593220339,17,59,"Pyramidal",104.009260100731,2.13291442413195,0
"48",48,"A030009H04Rik",0.0418352449045915,0.39523366062297,1770.81109377982,0.461338163652151,0.63,42.3728813559322,25,59,"Pyramidal",183.480325129618,9.92978177142481,0
"49",49,"A230046K03Rik",0.0601554939461413,0.864379466993355,111.831010037293,2.53505393837942,0.881,44.0677966101695,26,59,"Pyramidal",43.8633052298148,2.11823269407359,0
"50",50,"A230073K19Rik",0.206446749253259,16.3959169240684,1961.23593277587,3.40844202169637,0.466,84.7457627118644,50,59,"Pyramidal",108.865635176432,7.30126504136706,2.3768877911185
"51",51,"A430035B10Rik",0.123610615408181,11.0097874380269,222.036741241629,0.142464076419129,0.685,22.0338983050847,13,59,"Pyramidal",1.6667778459434,0.499916406540598,0
"52",52,"A630072M18Rik",0.0824552553155157,1.46540274305683,35.4846813121735,0.942335438757293,0.821,30.5084745762712,18,59,"Pyramidal",5.57961314370822,1.15518091060358,0
"53",53,"A730098P11Rik",0.0264996871757863,2.01435682492885,1181.44786143563,2.10067139070197,0.664,44.0677966101695,26,59,"Pyramidal",56.8284980785629,1.48812415351261,0
"54",54,"AI314180",0.0514139168585366,0.632568112219117,713.387982524951,0.824435330865307,0.363,49.1525423728814,29,59,"Pyramidal",89.5971396376089,4.26762900393122,0
"55",55,"AI414108",0.182652973349259,5.02101056689893,2340.88363749126,0.435165460088793,0.281,47.4576271186441,28,59,"Pyramidal",146.37783814715,8.86401238674821,0
"56",56,"AI467606",0.129514881786926,1.43137712468377,46.4047469287578,0.0302218290252135,0.901,25.4237288135593,15,59,"Pyramidal",0.424924395297504,0.215254992281846,0
"57",57,"AU040320",0.0316314544404134,5.82384935827258,24727.8128912659,0.148246085634022,0.984,30.5084745762712,18,59,"Pyramidal",147.105584568612,1.65481894367546,0
"58",58,"AW549877",0.00993388828743589,0.292764990571888,2738.08362717953,0.763020219264484,0.996,22.0338983050847,13,59,"Pyramidal",347.723169393913,3.870157052167,0
"59",59,"Aacs",0.0475278740047451,19.8305004239653,964.734440313401,3.37306910463924,0.38,28.8135593220339,17,59,"Pyramidal",82.4767929005316,2.38969955744521,0
"60",60,"Aak1",0.145917033814408,0.915868099286732,2363.49189403811,0.914566362578486,0.997,86.4406779661017,51,59,"Pyramidal",371.661486553928,28.990125232527,23.7470119867021
"61",61,"Aamp",0.0617064814715572,1.1598200007283,3495.73114749595,1.1744960609692,0.929,44.0677966101695,26,59,"Pyramidal",450.600456258913,44.2073888265309,0
"62",62,"Abca5",0.0494811756458,1.57726885845224,293.106807459685,1.70137932742586,0.34,37.2881355932203,22,59,"Pyramidal",46.8616465198353,1.95131460100043,0
"63",63,"Abcb7",0.048433207515972,4.51101208961828,78.168043280373,3.09163255225709,0.963,27.1186440677966,16,59,"Pyramidal",10.3689590697214,0.912934149398447,0
"64",64,"Abcb9",0.0611430654560821,9.1916484717957,1583.71305769604,0.530968057559535,0.674,27.1186440677966,16,59,"Pyramidal",9.01705026296016,0.380244267804293,0
"65",65,"Abcc5",0.123086080467971,2.67580452762284,4832.23340067719,1.3529346768879,0.859,59.3220338983051,35,59,"Pyramidal",470.352972263549,28.8011205575956,0.184531714037992
"66",66,"Abhd6",0.0403976394255275,1.28534245218013,118.158162856344,1.00542939440186,0.837,28.8135593220339,17,59,"Pyramidal",16.2609059360675,1.94073988700675,0
"67",67,"Abhd12",0.0663807771656719,1.73366877731452,258.210478792967,1.33796889156453,0.469,32.2033898305085,19,59,"Pyramidal",54.1887702054603,10.0581589978557,0
"68",68,"Abhd15",0.036562720976786,1.35607223128252,763.731410571356,0.0304893153886989,0.558,25.4237288135593,15,59,"Pyramidal",2.05221354532649,0.252401652419302,0
"69",69,"Abi2",0.112347658546525,1.30047784126991,2749.61730493508,1.07271870739915,0.832,79.6610169491525,47,59,"Pyramidal",303.683227828118,24.8127120517987,7.67780370805982
"70",70,"Ablim1",0.0352905806031426,0.738517791279936,3375.32313214273,1.05222330641628,0.848,45.7627118644068,27,59,"Pyramidal",400.596113879013,14.13235425576,0
"71",71,"Abr",0.130007516818308,2.96064277390456,378.511343680932,1.84191070280941,0.35,50.8474576271186,30,59,"Pyramidal",53.9987478836295,6.40996948130072,0.0535060755761959
"72",72,"Acacb",0.15078599111461,10.3176044160147,847.44567493941,0.294947909245444,0.522,61.0169491525424,36,59,"Pyramidal",5.5198195608724,0.6016227739339,0.245364682039152
"73",73,"Acadm",0.0111582347757213,0.307842052758548,2456.32139791242,0.778203235823145,1,25.4237288135593,15,59,"Pyramidal",305.692331564856,7.61606735353934,0
"74",74,"Acadsb",0.0189900928873458,0.251911992305573,312.648315579427,0.721010527188141,0.493,23.728813559322,14,59,"Pyramidal",75.4141502999495,7.41866920585994,0
